iso3,year,gdp_growth,unemployment
ABW,2020,-23.8979898352395,
ABW,2021,14.7306159219273,
ABW,2022,10.6364309604414,
AFE,2020,-2.81757208724623,8.19139491127414
AFE,2021,4.57877206871177,8.57738499231761
AFE,2022,3.72271692296214,7.98520225155097
AFG,2020,-2.35110067203466,11.71
AFG,2021,-20.7388393676343,11.994
AFG,2022,-6.24017199240269,14.1
AFW,2020,-3.73062984236253,4.8523927005513
AFW,2021,2.54969083217036,4.73673176237333
AFW,2022,4.47279468511532,3.65857318082157
AGO,2020,-4.04244724639663,16.69
AGO,2021,2.10275251923413,15.799
AGO,2022,4.21600258475137,14.602
ALB,2020,-3.31375636888916,11.69
ALB,2021,8.96957619074095,11.474
ALB,2022,4.8268006234359,10.137
AND,2020,-11.1839399355384,
AND,2021,8.28677879049404,
AND,2022,9.56461225648184,
ARB,2020,-5.30102786914752,11.3256125416623
ARB,2021,4.43160883511413,10.8896587837575
ARB,2022,7.00775934349392,9.9535706462442
ARE,2020,-8.69342617885171,4.294
ARE,2021,4.55278571242283,3.105
ARE,2022,7.51448425801082,2.872
ARG,2020,-9.9004848136464,11.461
ARG,2021,10.4418119882506,8.736
ARG,2022,6.02074537534855,6.805
ARM,2020,-7.19999999920631,18.175
ARM,2021,5.80000000065645,15.469
ARM,2022,12.5999999997766,13.379
ASM,2020,4.41176470588236,
ASM,2021,-0.782472613458523,
ASM,2022,1.73501577287065,
ATG,2020,-18.8687765208148,
ATG,2021,8.17286311186622,
ATG,2022,9.10780623385958,
AUS,2020,-0.133531904304775,6.456
AUS,2021,2.00694844335034,5.116
AUS,2022,4.25304559238732,3.728
AUT,2020,-6.31825509209936,5.201
AUT,2021,4.92309171717903,6.459
AUT,2022,5.33096379400371,4.992
AZE,2020,-4.19896065333343,7.24
AZE,2021,5.61644027150554,6.04
AZE,2022,4.71468033247649,5.65
BDI,2020,0.306443809481593,1.03
BDI,2021,3.23707479823578,1.118
BDI,2022,2.31770122223331,0.915
BEL,2020,-4.7929839083518,5.545
BEL,2021,6.25445686466593,6.248
BEL,2022,3.9562379757933,5.57
BEN,2020,3.84879240030133,1.502
BEN,2021,7.1554516457574,1.779
BEN,2022,6.25294705373625,1.685
BFA,2020,2.01077262406221,5.04
BFA,2021,6.94252492572348,5.2
BFA,2022,1.62673258211919,5.389
BGD,2020,3.44801755122445,5.436
BGD,2021,6.93867912442445,5.327
BGD,2022,7.09982877575158,4.593
BGR,2020,-3.13323303076419,5.125
BGR,2021,7.82817232822165,5.267
BGR,2022,4.0838640915123,4.268
BHR,2020,-5.9113629524152,1.781
BHR,2021,4.35004091668986,1.541
BHR,2022,6.18016125475185,1.326
BHS,2020,-20.0893664891399,12.027
BHS,2021,17.5861390037409,11.032
BHS,2022,10.8779009410268,9.272
BIH,2020,-3.01509335460439,15.868
BIH,2021,7.39164256472846,14.897
BIH,2022,4.22681333390325,12.657
BLR,2020,-0.672742918585868,4.049
BLR,2021,2.43886210234947,3.9
BLR,2022,-4.65839591328999,3.574
BLZ,2020,-13.5228997055506,10.784
BLZ,2021,17.9899244143607,10.322
BLZ,2022,9.25051329530994,8.763
BMU,2020,-6.82757303480177,
BMU,2021,4.60742917109469,
BMU,2022,6.47622571186707,
BOL,2020,-12.7194690092717,7.903
BOL,2021,10.0290488827886,5.089
BOL,2022,3.74741781241461,3.552
BRA,2020,-3.27675879612903,13.697
BRA,2021,4.7626043797061,13.158
BRA,2022,3.01669435408112,9.231
BRB,2020,-14.3647119341564,9.777
BRB,2021,-0.0967779613221893,9.433
BRB,2022,17.2264626793379,8.365
BRN,2020,1.1335733495246,7.409
BRN,2021,-1.59076260099606,4.905
BRN,2022,-1.62833154515108,5.191
BTN,2020,-10.2183974208569,5.03
BTN,2021,4.42136738945015,4.803
BTN,2022,5.21386783786224,5.947
BWA,2020,-8.72888243996397,21.017
BWA,2021,11.9162724376008,23.106
BWA,2022,5.48601706446772,23.615
CAF,2020,0.899999996857062,6.196
CAF,2021,0.982919996264229,6.375
CAF,2022,0.453901876447787,5.956
CAN,2020,-5.03823343468899,9.657
CAN,2021,5.95052802804381,7.527
CAN,2022,4.18903628100851,5.279
CEB,2020,-3.30111999071748,4.36148161141545
CEB,2021,6.57225386036488,4.46083553017949
CEB,2022,4.04227221314891,3.98390653964054
CHE,2020,-2.14173712008038,4.817
CHE,2021,5.55962020605844,5.013
CHE,2022,3.04406102969423,4.122
CHI,2020,-8.89677926591959,6.863
CHI,2021,9.93680136985076,6.875
CHI,2022,5.34196140375869,6.147
CHL,2020,-6.14347479224092,10.934
CHL,2021,11.3149204879049,9.281
CHL,2022,2.15399356192458,8.249
CHN,2020,2.34018843078414,5.0
CHN,2021,8.57008513166322,4.55
CHN,2022,3.1341888719577,4.98
CIV,2020,0.699728593494228,2.584
CIV,2021,7.06332910205232,2.63
CIV,2022,6.39988362720531,2.306
CMR,2020,0.259932915907115,3.87
CMR,2021,3.33885747179505,3.973
CMR,2022,3.7367840056412,3.653
COD,2020,0.775427992354622,5.345
COD,2021,6.42961005647355,5.28
COD,2022,9.31116944064918,4.522
COG,2020,-6.26777227963225,22.198
COG,2021,1.01507036990908,21.96
COG,2022,1.47535613247133,20.108
COL,2020,-7.18591413760859,15.983
COL,2021,10.8011981904878,13.898
COL,2022,7.32827729427979,10.547
COM,2020,-0.195577456821965,4.471
COM,2021,2.0001921183449,4.394
COM,2022,2.60301031927843,3.816
CPV,2020,-20.8052758990735,14.69
CPV,2021,7.03353010694514,13.976
CPV,2022,15.843675684642,12.246
CRI,2020,-4.27335432161462,16.432
CRI,2021,7.93576224743147,15.139
CRI,2022,4.55149177958398,11.325
CSS,2020,-9.0291630332097,9.86550041950631
CSS,2021,6.53181248270917,9.53894339285438
CSS,2022,14.8851030062619,8.38855235263485
CUB,2020,-10.9494359030206,2.24
CUB,2021,1.25448735650322,2.116
CUB,2022,1.77465227724316,1.82
CUW,2020,-18.4384703505393,
CUW,2021,4.18371193053579,
CUW,2022,6.90599999999999,
CYM,2020,-4.95480732200573,
CYM,2021,4.86941655353661,
CYM,2022,5.77566708028824,
CYP,2020,-3.22063018637567,7.755
CYP,2021,11.3975590801512,7.513
CYP,2022,8.27372597293814,6.806
CZE,2020,-5.30487955463876,2.55
CZE,2021,4.02901832055149,2.803
CZE,2022,2.8471706583814,2.224
DEU,2020,-4.13191443239947,3.881
DEU,2021,3.90999994204108,3.594
DEU,2022,1.8092581243061,3.12
DJI,2020,1.2021151728969,27.713
DJI,2021,4.40715667561153,27.668
DJI,2022,5.16653702854374,26.307
DMA,2020,-15.7064024545862,
DMA,2021,5.37983838954712,
DMA,2022,10.3968076616121,
DNK,2020,-1.78010601831291,5.637
DNK,2021,6.50025445756295,5.043
DNK,2022,0.443832614908331,4.434
DOM,2020,-7.92905234231061,6.126
DOM,2021,14.0124289062207,7.702
DOM,2022,5.23795652902595,5.504
DZA,2020,-4.99999999908597,14.057
DZA,2021,3.79999999900707,13.63
DZA,2022,3.60000000094915,12.346
EAP,2020,1.34522560098827,4.36073968094378
EAP,2021,7.71979646853708,4.12248591657027
EAP,2022,3.54811147025219,4.22329838547477
EAR,2020,-4.30295004163716,7.41080978209992
EAR,2021,7.50999857340686,6.78633395860379
EAR,2022,6.02119005770159,5.71415089065227
EAS,2020,-0.0574924656287692,4.28969803870281
EAS,2021,6.34482611371077,4.05434580285896
EAS,2022,2.9996184966993,4.08954331640933
ECA,2020,0.276088024593619,9.31305476539785
ECA,2021,9.28042104515383,9.00694262356147
ECA,2022,3.07901753477167,7.81152824791031
ECS,2020,-5.38089471565053,7.11145083106866
ECS,2021,6.79965905280595,6.90930078593098
ECS,2022,3.39087777130349,5.86004068753744
ECU,2020,-9.24509619165865,6.127
ECU,2021,9.42189269033631,4.552
ECU,2022,5.86842354862311,3.761
EGY,2020,3.55016483786838,7.974
EGY,2021,3.29064601202211,7.441
EGY,2022,6.58784560886967,7.344
EMU,2020,-6.05674425052126,7.82955559700518
EMU,2021,6.43713755486188,7.72235228907323
EMU,2022,3.6592192433758,6.75630041139587
ERI,2020,,6.088
ERI,2021,,6.177
ERI,2022,,5.695
ESP,2020,-10.9400706350371,15.532
ESP,2021,6.68314420473001,14.781
ESP,2022,6.37031712129601,12.917
EST,2020,-2.88380751483778,6.956
EST,2021,8.25488044580031,6.178
EST,2022,-1.22616966587796,5.571
ETH,2020,6.05953089054807,3.994
ETH,2021,5.64153069257077,3.935
ETH,2022,5.32175988403378,3.409
EUU,2020,-5.57888055659984,7.05350210339032
EUU,2021,6.37775013900981,7.0141845372126
EUU,2022,3.56155233245134,6.14902028996126
FCS,2020,-7.41318835322815,6.65180755643263
FCS,2021,1.53090680703163,6.77761944075494
FCS,2022,1.62071663646515,5.60917621194441
FIN,2020,-2.49103605535707,7.759
FIN,2021,2.67634641498897,7.617
FIN,2022,0.763041912763526,6.719
FJI,2020,-17.1835352599354,4.649
FJI,2021,-4.3459619989752,4.701
FJI,2022,17.7451269773594,4.446
FRA,2020,-7.44064589948231,8.009
FRA,2021,6.88233783360239,7.874
FRA,2022,2.71676264185913,7.308
FRO,2020,-1.63732118017028,
FRO,2021,5.06636291600633,
FRO,2022,3.86099981669155,
FSM,2020,-1.67294117647059,
FSM,2021,3.09969928290539,
FSM,2022,-2.90588999868474,
GAB,2020,-1.83776106357656,21.27
GAB,2021,1.46795731487489,21.218
GAB,2022,3.03761449530657,20.399
GBR,2020,-10.047896637362,4.472
GBR,2021,8.5431118453255,4.826
GBR,2022,5.14970388522993,3.73
GEO,2020,-6.2904717853839,11.73
GEO,2021,10.6442336580969,11.791
GEO,2022,10.9585321385624,11.647
GHA,2020,0.513941670628171,3.313
GHA,2021,5.07646643533542,3.384
GHA,2022,3.80484980952164,3.084
GIN,2020,4.70459096113575,6.018
GIN,2021,5.5823328114905,5.827
GIN,2022,3.97240784200721,5.267
GMB,2020,0.591487287873974,5.892
GMB,2021,5.25596878816744,6.269
GMB,2022,5.49299823010114,6.076
GNB,2020,2.89139814952995,2.89
GNB,2021,5.05055831244401,3.031
GNB,2022,5.52987253058352,2.666
GNQ,2020,-4.79108083383294,8.781
GNQ,2021,0.860269956382069,8.976
GNQ,2022,3.22350831658598,8.455
GRC,2020,-9.19623149726978,15.899
GRC,2021,8.65449786002131,14.656
GRC,2022,5.52198580589408,12.426
GRD,2020,-13.7566222572107,
GRD,2021,4.6977240232674,
GRD,2022,7.31023806981959,
GRL,2020,0.250789762104304,
GRL,2021,1.63409410992996,
GRL,2022,2.00455580865604,
GTM,2020,-1.78555175063326,2.955
GTM,2021,8.04170378184928,2.174
GTM,2022,4.18451817243695,3.051
GUM,2020,-10.5188595714539,6.248
GUM,2021,2.0581832574708,5.991
GUM,2022,5.09986426216793,5.454
GUY,2020,43.479651716849,15.334
GUY,2021,20.0599975568418,14.557
GUY,2022,63.3346343654855,12.013
HKG,2020,-6.54480412699255,5.808
HKG,2021,6.45444409087024,5.174
HKG,2022,-3.68378414495199,4.318
HND,2020,-8.96508223267296,10.982
HND,2021,12.5652843771279,8.506
HND,2022,4.14356194013767,8.774
HPC,2020,-0.0187133746473904,5.08466986799381
HPC,2021,4.3943156092006,4.99025451599025
HPC,2022,4.87387497765388,4.44664203690213
HRV,2020,-8.31086401501189,7.507
HRV,2021,12.6322190351024,7.608
HRV,2022,7.29445343642668,6.96
HTI,2020,-3.30550546965893,15.546
HTI,2021,-1.79823988931486,15.28
HTI,2022,-1.68198396897978,14.635
HUN,2020,-4.33872540024058,4.25
HUN,2021,7.22291580811137,4.045
HUN,2022,4.15238057779229,3.609
IBD,2020,-1.2820422988441,6.97182202204261
IBD,2021,7.62576674177033,6.33864692540996
IBD,2022,3.77001425774095,5.60126891405961
IBT,2020,-1.32167856256848,6.64356253032983
IBT,2021,7.35278447207351,6.17146922477733
IBT,2022,3.82613307769597,5.42368900893862
IDA,2020,-1.8099801648997,5.57685316149891
IDA,2021,3.97167918662413,5.63088102209668
IDA,2022,4.54563835706816,4.86219567413107
IDB,2020,-3.29396031642257,5.8479266368036
IDB,2021,4.29411724945791,5.83078658675916
IDB,2022,4.79819828416285,4.81132260612793
IDN,2020,-2.06551182934165,4.255
IDN,2021,3.70288562827751,3.827
IDN,2022,5.30719722664799,3.462
IDX,2020,-0.368060971666011,5.42444214786479
IDX,2021,3.66758077651031,5.51777492910716
IDX,2022,4.30600397002799,4.89088034774433
IMN,2020,-8.83681697473475,
IMN,2021,3.83783632334639,
IMN,2022,-4.16539345213232,
IND,2020,-5.77772470686801,7.859
IND,2021,9.68959249192875,6.38
IND,2022,7.60936497768895,4.822
IRL,2020,7.15369505735335,5.623
IRL,2021,16.2581881158197,6.364
IRL,2022,7.51113888415304,4.501
IRN,2020,4.44180865358672,9.687
IRN,2021,4.13089685034471,9.282
IRN,2022,4.35281087521344,9.085
IRQ,2020,-12.0367930931152,15.778
IRQ,2021,1.50218070952037,16.173
IRQ,2022,7.95904804992662,15.511
ISL,2020,-6.64587816297836,5.478
ISL,2021,5.1805719742238,6.029
ISL,2022,8.82069395623492,3.789
ISR,2020,-2.02161548237589,4.169
ISR,2021,9.38837403354628,4.812
ISR,2022,6.26326343841286,3.695
ITA,2020,-8.86822122185345,9.164
ITA,2021,8.93106210800055,9.497
ITA,2022,4.82117669913565,8.069
JAM,2020,-8.30441923583135,6.501
JAM,2021,5.70467978309095,5.188
JAM,2022,6.43930323656186,4.083
JOR,2020,-1.10275188309046,19.213
JOR,2021,3.65564358999147,19.837
JOR,2022,2.64743514912058,18.2
JPN,2020,-4.16876457146743,2.809
JPN,2021,2.69657404187188,2.828
JPN,2022,0.941998775483285,2.6
KAZ,2020,-2.49999999628,4.89
KAZ,2021,4.29999999729456,5.546
KAZ,2022,3.19999999970734,4.86
KEN,2020,-0.272766327438816,5.619
KEN,2021,7.59048947333467,5.693
KEN,2022,4.85998104287999,5.707
KGZ,2020,-7.14897757727955,4.63
KGZ,2021,5.50700762671923,4.096
KGZ,2022,8.96750520041391,4.043
KHM,2020,-3.55572193406549,0.172
KHM,2021,3.08984284148661,0.396
KHM,2022,5.12990110773977,0.231
KIR,2020,-1.46805538131593,
KIR,2021,8.47973787138213,
KIR,2022,4.56632593100372,
KNA,2020,-15.3018891740649,
KNA,2021,0.367606879216311,
KNA,2022,10.4804941546807,
KOR,2020,-0.700242317542106,3.931
KOR,2021,4.61296795454287,3.639
KOR,2022,2.72756456708991,2.857
KWT,2020,-4.81731593381585,3.557
KWT,2021,1.67213054307859,3.002
KWT,2022,6.75866711966617,2.174
LAC,2020,-6.54995286111402,10.2177163550783
LAC,2021,6.90270247216083,9.18066102897673
LAC,2022,3.94705326197962,6.86330650089905
LAO,2020,0.503031829018681,2.361
LAO,2021,2.52835100486102,2.066
LAO,2022,2.70742652643155,1.209
LBN,2020,-21.3998996914321,13.284
LBN,2021,-7.00123862514116,12.669
LBN,2022,-0.621678970663112,11.6
LBR,2020,-2.98249127649473,4.109
LBR,2021,4.98671283481617,3.845
LBR,2022,4.80810517290655,2.977
LBY,2020,-29.4552967282824,19.613
LBY,2021,28.2996823429147,19.641
LBY,2022,-8.29981811198795,19.282
LCA,2020,-24.3614732129122,25.224
LCA,2021,11.598783583643,20.514
LCA,2022,20.3884431828414,15.934
LCN,2020,-6.86063404728556,10.2142815871263
LCN,2021,7.06404255272612,9.15752046126518
LCN,2022,4.08489707535256,6.91530044010831
LDC,2020,-0.084161466625801,5.63912879862034
LDC,2021,2.8680415794319,5.75302416584841
LDC,2022,4.75099901471464,5.0884445684594
LKA,2020,-4.62451503749502,5.364
LKA,2021,4.2074764951157,4.981
LKA,2022,-7.34919301306745,4.528
LMY,2020,-1.12138803182505,6.69062566233473
LMY,2021,7.38651702793516,6.22573569680244
LMY,2022,3.99985001578578,5.48428671802243
LSO,2020,-8.15595785459911,18.399
LSO,2021,2.26670961833291,18.23
LSO,2022,2.38778020186284,16.688
LTE,2020,0.23606472189222,5.91814324936933
LTE,2021,7.59265524240509,5.49439716094102
LTE,2022,3.28700376545592,5.1820798343178
LTU,2020,0.0428158336981426,8.487
LTU,2021,6.38001606179873,7.112
LTU,2022,2.53752574011534,5.955
LUX,2020,-0.510051634039826,6.766
LUX,2021,6.9297342584233,5.571
LUX,2022,-1.0974168968152,4.588
LVA,2020,-3.46922750780554,8.098
LVA,2021,6.94254173062592,7.513
LVA,2022,1.90853419029801,6.815
MAC,2020,-54.4020925789353,2.566
MAC,2021,22.4622020023362,2.229
MAC,2022,-18.956941494497,2.482
MAF,2020,-12.500002246731,
MAF,2021,4.89999967133534,
MAR,2020,-7.17820744246774,11.223
MAR,2021,8.15473889823681,10.576
MAR,2022,1.81269242194809,9.494
MCO,2020,-13.2391048292108,
MCO,2021,22.2322155851208,
MCO,2022,11.2662955198601,
MDA,2020,-8.27597831976949,1.186
MDA,2021,13.9299997889786,0.785
MDA,2022,-4.6000000255323,0.897
MDG,2020,-7.13767162064489,3.284
MDG,2021,4.65068343174309,3.487
MDG,2022,4.15609778386296,3.186
MDV,2020,-32.9088287752921,5.434
MDV,2021,37.507870124321,5.024
MDV,2022,13.8260895184139,4.419
MEA,2020,-3.58499748950123,9.21442251170226
MEA,2021,5.03631361698847,9.02712223286196
MEA,2022,6.4465289217368,8.41864578048354
MEX,2020,-8.35403458167995,4.44
MEX,2021,6.0484834621255,4.019
MEX,2022,3.70975709163623,3.256
MHL,2020,-2.77288732394366,
MHL,2021,2.15938183019058,
MHL,2022,-0.700563926576777,
MIC,2020,-1.12103096286306,6.73502937586073
MIC,2021,7.46158157346058,6.23172076635192
MIC,2022,4.00728998415607,5.48416887610184
MKD,2020,-4.68845000956652,16.575
MKD,2021,4.51067949038222,15.801
