term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,-3.8806934281975862,1.9003757917395676,-2.0420663350195984,0.04114495171098025,531,0.5958531118505221,177
C(year)[T.2021],9.277171744650113,0.9084416110191502,10.212182744736191,1.748856567143825e-24,531,0.5958531118505221,177
C(year)[T.2022],6.8791128740144,1.3944102978323152,4.933349161798608,8.083146942939173e-07,531,0.5958531118505221,177
C(iso3)[T.AFG],-9.345483894946154,0.8990439628859391,-10.394913130774015,2.615251417644929e-25,531,0.5958531118505221,177
C(iso3)[T.AGO],3.120401873993882,1.0602715166684922,2.9430215043393613,0.003250258402296829,531,0.5958531118505221,177
C(iso3)[T.ALB],4.243803130204649,0.5451475554839064,7.784687076946698,6.988596304487003e-15,531,0.5958531118505221,177
C(iso3)[T.AND],1.763166286292229,0.34246443368898205,5.148465396244604,2.6262622239145805e-07,531,0.5958531118505221,177
C(iso3)[T.ARE],2.7880056917671294,0.8211871793350116,3.3950915965648973,0.0006860564399129628,531,0.5958531118505221,177
C(iso3)[T.ARG],2.615231256015965,0.5773994873219669,4.529327291483499,5.917177919813774e-06,531,0.5958531118505221,177
C(iso3)[T.AUS],3.5319833990536424,0.7080633385341726,4.988230864156204,6.093472512838893e-07,531,0.5958531118505221,177
C(iso3)[T.AUT],1.7521210165028687,0.5766213616199373,3.0385988676876785,0.002376811000313088,531,0.5958531118505221,177
C(iso3)[T.AZE],4.386999666732667,1.0903423628745568,4.023506575647367,5.7337982482317246e-05,531,0.5958531118505221,177
C(iso3)[T.BDI],1.6467849868825781,1.1767753156297864,1.399404767426866,0.16169163807512088,531,0.5958531118505221,177
C(iso3)[T.BEL],1.188851177092204,0.07755702478221677,15.328736248335282,4.914550702659917e-53,531,0.5958531118505221,177
C(iso3)[T.BEN],6.6725487201603,0.8826194596407495,7.559938371261621,4.0326038012931157e-14,531,0.5958531118505221,177
C(iso3)[T.BFA],3.559185878826021,1.062195870262663,3.350781130363362,0.0008058396652341795,531,0.5958531118505221,177
C(iso3)[T.BGD],7.980083129273275,0.9925804482520892,8.039734354354866,9.003343916148142e-16,531,0.5958531118505221,177
C(iso3)[T.BGR],0.25201017465817777,0.9594142721131372,0.2626708628204146,0.7928042764682462,531,0.5958531118505221,177
C(iso3)[T.BHR],2.1147096480219965,0.46438816041265385,4.553754441420023,5.269686483593688e-06,531,0.5958531118505221,177
C(iso3)[T.BHS],3.7505967069554673,0.6847773670475991,5.477103782103772,4.323436707744589e-08,531,0.5958531118505221,177
C(iso3)[T.BIH],0.7457026659568329,0.8399682345710672,0.8877748410779231,0.3746618787357733,531,0.5958531118505221,177
C(iso3)[T.BLR],-1.260574123165584,0.8155272390831328,-1.5457167618126415,0.12217298731493542,531,0.5958531118505221,177
C(iso3)[T.BLZ],5.476691831107903,0.5556441985403103,9.856472623119785,6.426757443340508e-23,531,0.5958531118505221,177
C(iso3)[T.BMU],1.2024734898929665,0.1757072797689419,6.843617927921028,7.721770116116328e-12,531,0.5958531118505221,177
C(iso3)[T.BOL],0.7440728893522697,0.4811947340182013,1.5463030593433822,0.12203139346639176,531,0.5958531118505221,177
C(iso3)[T.BRA],1.3435508350035175,0.5021963455159335,2.675349685436709,0.007465134071334338,531,0.5958531118505221,177
C(iso3)[T.BRB],1.5726152129247302,0.44400119984048575,3.5419165837608464,0.0003972310704866308,531,0.5958531118505221,177
C(iso3)[T.BRN],0.45552389806755544,0.7389786916655733,0.6164235900237621,0.5376149879508666,531,0.5958531118505221,177
C(iso3)[T.BTN],2.100918896012578,1.008239793678598,2.083749232260812,0.03718298342595419,531,0.5958531118505221,177
C(iso3)[T.BWA],3.329065267528857,0.5277241888903973,6.308343141383403,2.820383707594289e-10,531,0.5958531118505221,177
C(iso3)[T.CAF],1.065359816066139,0.9887996311386303,1.0774274003716482,0.2812893684696498,531,0.5958531118505221,177
C(iso3)[T.CAN],3.100075047769291,0.7282156997126465,4.25708351109785,2.0711100672919988e-05,531,0.5958531118505221,177
C(iso3)[T.CHE],2.2103996485581283,0.3183197862084679,6.943959327462402,3.812603122757682e-12,531,0.5958531118505221,177
C(iso3)[T.CHL],2.53233826533236,0.5309780401388781,4.7691958497380105,1.8496277241438328e-06,531,0.5958531118505221,177
C(iso3)[T.CHN],8.686650150457194,1.7015208543988225,5.105226966804554,3.3039771574242085e-07,531,0.5958531118505221,177
