term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,11.557873366597743,2.3836758475333326,4.848760530320439,1.2423528718718243e-06,354,0.6402494574353262,177
C(year)[T.2022],-0.10013334727359163,1.083543333219355,-0.09241286822935066,0.9263700158109001,354,0.6402494574353262,177
C(iso3)[T.AFG],-24.946502924442292,1.500356560703929,-16.62704958129288,4.439224178474107e-62,354,0.6402494574353262,177
C(iso3)[T.AGO],-7.8853998088961,1.5308290882955542,-5.151064785211137,2.5901168980181454e-07,354,0.6402494574353262,177
C(iso3)[T.ALB],-5.006179440061709,0.8996092778698569,-5.564837494690594,2.623968222625482e-08,354,0.6402494574353262,177
C(iso3)[T.AND],-1.8056003271702166,0.8308190467454984,-2.1732774835184046,0.029759439112903716,354,0.6402494574353262,177
C(iso3)[T.ARE],-4.9810126775786925,1.319128974306983,-3.7759861049186,0.00015937587586160296,354,0.6402494574353262,177
C(iso3)[T.ARG],-4.511181927706229,0.4683171204080213,-9.632750397371467,5.815174318287187e-22,354,0.6402494574353262,177
C(iso3)[T.AUS],-7.459140555531448,1.127005149126893,-6.618550555257134,3.6273785858576293e-11,354,0.6402494574353262,177
C(iso3)[T.AUT],-5.920338339419279,1.2187819175706698,-4.857586295028039,1.1882535545257116e-06,354,0.6402494574353262,177
C(iso3)[T.AZE],-6.457388162545842,1.3903288098472102,-4.644504319273564,3.40893917444193e-06,354,0.6402494574353262,177
C(iso3)[T.BDI],-8.530760137006558,1.6015808063172716,-5.326462519629261,1.0014393277085645e-07,354,0.6402494574353262,177
C(iso3)[T.BEL],-6.413033473087187,0.5819093141290012,-11.020675073204803,3.0377227571752113e-28,354,0.6402494574353262,177
C(iso3)[T.BEN],-4.499265766413026,1.43528341987313,-3.1347577099516224,0.0017199610511206378,354,0.6402494574353262,177
C(iso3)[T.BFA],-7.07961390513535,1.6641724330408603,-4.254134826761383,2.0985883148810494e-05,354,0.6402494574353262,177
C(iso3)[T.BGD],-4.180541791683681,1.387762533774917,-3.012433100000182,0.0025916255302115047,354,0.6402494574353262,177
C(iso3)[T.BGR],-10.396968173162556,1.6743709172754901,-6.209477282417409,5.316113371004772e-10,354,0.6402494574353262,177
C(iso3)[T.BHR],-5.63114147372029,0.8281729736312782,-6.799475052934298,1.0500104458859107e-11,354,0.6402494574353262,177
C(iso3)[T.BHS],1.347745045819369,0.6921324110397437,1.9472358530280973,0.05150646517314594,354,0.6402494574353262,177
C(iso3)[T.BIH],-9.838035350192362,1.3209988024889088,-7.447421853567474,9.518189358286452e-14,354,0.6402494574353262,177
C(iso3)[T.BLR],-12.880449861273378,1.1668876259373437,-11.03829501227824,2.4972671707951444e-28,354,0.6402494574353262,177
C(iso3)[T.BLZ],1.6381555521225328,0.7968338039276234,2.055830894783835,0.03979881898107888,354,0.6402494574353262,177
C(iso3)[T.BMU],-7.465365612877604,0.1732515601670944,-43.08974537186014,0.0,354,0.6402494574353262,177
C(iso3)[T.BOL],-5.411385979151022,0.8734217958675284,-6.195615915190379,5.805754642008257e-10,354,0.6402494574353262,177
C(iso3)[T.BRA],-9.716178536555685,0.5043084144551901,-19.26634229780238,1.0296075781262232e-82,354,0.6402494574353262,177
C(iso3)[T.BRB],-3.723356965013153,0.7005940479121124,-5.3145712215360374,1.0690876246181436e-07,354,0.6402494574353262,177
C(iso3)[T.BRN],-11.170735059861602,1.4870400004506106,-7.512060910585181,5.820369435361912e-14,354,0.6402494574353262,177
