term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,11.326264469575671,2.1612398258286847,5.240632869252647,1.600268133099122e-07,354,0.6439671538781738,177
C(year)[T.2022],-0.16760949013283888,1.0470586151284047,-0.16007651120112726,0.8728208039032429,354,0.6439671538781738,177
C(iso3)[T.AFG],-24.746008069805622,1.244028692176761,-19.891830651032542,4.7894370936147365e-88,354,0.6439671538781738,177
C(iso3)[T.AGO],-7.760924049606595,1.3777860381204663,-5.63289497416726,1.7720938603683323e-08,354,0.6439671538781738,177
C(iso3)[T.ALB],-4.897633627874116,0.7550012238780888,-6.486921441951125,8.760798777664429e-11,354,0.6439671538781738,177
C(iso3)[T.AND],-1.7772374926766288,0.7677860226993769,-2.3147562473568213,0.02062627560778864,354,0.6439671538781738,177
C(iso3)[T.ARE],-4.858585533480931,1.1537473002910963,-4.211134909919257,2.5409093916299786e-05,354,0.6439671538781738,177
C(iso3)[T.ARG],-4.481782728134109,0.44501340176632925,-10.071118555857415,7.413015523593742e-24,354,0.6439671538781738,177
C(iso3)[T.AUS],-7.435258528712832,1.0744691577076815,-6.919936673264341,4.518455856375927e-12,354,0.6439671538781738,177
C(iso3)[T.AUT],-5.992858901214224,1.2002046132759157,-4.99319768889817,5.938771372599054e-07,354,0.6439671538781738,177
C(iso3)[T.AZE],-6.398621588173562,1.3330303651293214,-4.800056889591417,1.5862056521104462e-06,354,0.6439671538781738,177
C(iso3)[T.BDI],-8.31759359736947,1.3295413932676639,-6.255986943683647,3.9500979430632353e-10,354,0.6439671538781738,177
C(iso3)[T.BEL],-6.3658842133597675,0.5062518670052203,-12.57453972667349,2.9149301920682327e-36,354,0.6439671538781738,177
C(iso3)[T.BEN],-4.318911811575861,1.1852126179599356,-3.6439974955800336,0.0002684360320238895,354,0.6439671538781738,177
C(iso3)[T.BFA],-6.858192500885258,1.392104760840294,-4.926491664855421,8.37191818269964e-07,354,0.6439671538781738,177
C(iso3)[T.BGD],-4.042833467285826,1.2073385815285538,-3.3485498841322436,0.0008123565523035035,354,0.6439671538781738,177
C(iso3)[T.BGR],-10.446017607955554,1.564913127540302,-6.675142168673853,2.4699260934033677e-11,354,0.6439671538781738,177
C(iso3)[T.BHR],-5.567451893885234,0.7226779675407611,-7.703918126674056,1.3195641133960362e-14,354,0.6439671538781738,177
C(iso3)[T.BHS],1.3969643970490937,0.652758484023602,2.1400938191384475,0.03234718550163141,354,0.6439671538781738,177
C(iso3)[T.BIH],-9.845308252048435,1.2594971330356362,-7.816856421355484,5.41588180683208e-15,354,0.6439671538781738,177
C(iso3)[T.BLR],-12.724315060423837,0.9712627120823623,-13.10079641906898,3.258206569041891e-39,354,0.6439671538781738,177
C(iso3)[T.BLZ],1.7024586282283027,0.7223361886380313,2.3568784937084457,0.018429275932868996,354,0.6439671538781738,177
C(iso3)[T.BMU],-7.45486743536536,0.16647688618455625,-44.780195054230504,0.0,354,0.6439671538781738,177
C(iso3)[T.BOL],-5.293828672763524,0.731965286504354,-7.232349361873782,4.747090768370085e-13,354,0.6439671538781738,177
C(iso3)[T.BRA],-9.703607232668046,0.48846415955124983,-19.86554600358543,8.086797920746928e-88,354,0.6439671538781738,177
C(iso3)[T.BRB],-3.7614837650532946,0.6949556873503495,-5.412551956218483,6.21328182684858e-08,354,0.6439671538781738,177
C(iso3)[T.BRN],-11.164362410477079,1.4263875448684231,-7.827018996795106,4.995736279693214e-15,354,0.6439671538781738,177
C(iso3)[T.BTN],-5.882049146874832,1.281032201338716,-4.591648157421741,4.397592895978959e-06,354,0.6439671538781738,177
C(iso3)[T.BWA],-3.3922063937114912,0.6654195003308179,-5.097846384160717,3.4353941552876144e-07,354,0.6439671538781738,177
C(iso3)[T.CAF],-10.407944418425924,1.3684386645307665,-7.605707649304675,2.8334915694215636e-14,354,0.6439671538781738,177
C(iso3)[T.CAN],-6.638119120873286,0.9607380061150097,-6.909395775562395,4.867223069832362e-12,354,0.6439671538781738,177
C(iso3)[T.CHE],-6.273092015172658,0.8537028829033859,-7.348097494807907,2.0104783921998254e-13,354,0.6439671538781738,177
C(iso3)[T.CHL],-6.588880144577882,0.38992538660798065,-16.897797298851295,4.6702962287154e-64,354,0.6439671538781738,177
C(iso3)[T.CHN],-4.671673131641283,2.3132743988158766,-2.019506693210554,0.043434582345281435,354,0.6439671538781738,177
C(iso3)[T.CMR],-7.563883749404878,1.1862298532217563,-6.376406502383707,1.8129134068804726e-10,354,0.6439671538781738,177
C(iso3)[T.COD],-3.1203131870139105,1.1862744154687443,-2.6303468626868685,0.008529778910650796,354,0.6439671538781738,177
C(iso3)[T.COG],-9.748084429312541,1.2106094490024137,-8.05221241032384,8.131063155329568e-16,354,0.6439671538781738,177
C(iso3)[T.COL],-4.066628838889118,0.5539146918188015,-7.341615773967244,2.1103049328745477e-13,354,0.6439671538781738,177
C(iso3)[T.CPV],0.07441348187254704,0.9865114413054971,0.07543093648672962,0.9398718455606984,354,0.6439671538781738,177
C(iso3)[T.CRI],-5.8894043790309745,0.48474055264950805,-12.149601156413484,5.7646124751082534e-34,354,0.6439671538781738,177
C(iso3)[T.CUB],-10.094185114889733,0.8734010550899464,-11.557331029157266,6.778290404527036e-31,354,0.6439671538781738,177
C(iso3)[T.CYP],-0.7059829736994487,1.1233049753460982,-0.6284873557886008,0.529684727173213,354,0.6439671538781738,177
C(iso3)[T.CZE],-10.121203918607733,0.35838241105899293,-28.241352271447532,1.817703095547573e-175,354,0.6439671538781738,177
C(iso3)[T.DEU],-8.633081189612366,0.6303431199446929,-13.695844241735902,1.0750352414633188e-42,354,0.6439671538781738,177
C(iso3)[T.DJI],-6.294719019281751,1.1508397846899927,-5.469674495983288,4.508628393235349e-08,354,0.6439671538781738,177
C(iso3)[T.DMA],-3.77021782114656,0.6749486346612704,-5.585932954792449,2.3244890668790546e-08,354,0.6439671538781738,177
C(iso3)[T.DNK],-7.326517528373008,0.7290405631162703,-10.049533454017903,9.230337328866615e-24,354,0.6439671538781738,177
C(iso3)[T.DOM],-1.438724205110912,1.0946603715735357,-1.3143110342459887,0.18874155549956728,354,0.6439671538781738,177
C(iso3)[T.DZA],-7.323653368615512,1.2357344333707507,-5.926559275878198,3.0934775266350403e-09,354,0.6439671538781738,177
C(iso3)[T.ECU],-4.734397440777996,0.7320787771715482,-6.467060087535611,9.992792231754587e-11,354,0.6439671538781738,177
C(iso3)[T.EGY],-6.223713628524701,1.1264880867792886,-5.524881888736836,3.297073378370168e-08,354,0.6439671538781738,177
C(iso3)[T.ESP],-5.434755892993267,0.49975398919653,-10.87486245328605,1.5188470024220548e-27,354,0.6439671538781738,177
C(iso3)[T.EST],-8.593481417913152,0.23758204554220885,-36.17058434824543,1.7664115333308016e-286,354,0.6439671538781738,177
C(iso3)[T.ETH],-5.508854337176696,1.2119826134792422,-4.545324558214916,5.485066851331335e-06,354,0.6439671538781738,177
C(iso3)[T.FIN],-10.427374261796112,0.41265846686107643,-25.268775753258787,7.043204090997801e-141,354,0.6439671538781738,177
C(iso3)[T.FJI],-5.132396238213891,1.1943010966827876,-4.2974056144378485,1.728088049957759e-05,354,0.6439671538781738,177
C(iso3)[T.FRA],-6.474583053127445,0.6740435058903259,-9.605586281222816,7.572573321473699e-22,354,0.6439671538781738,177
C(iso3)[T.FRO],-5.356533634839069,1.0822755785913523,-4.949325052507352,7.447128308923713e-07,354,0.6439671538781738,177
C(iso3)[T.GAB],-8.761823623157984,1.1916970583515967,-7.3523917523784865,1.9469119134817813e-13,354,0.6439671538781738,177
C(iso3)[T.GBR],-5.505236580279985,0.20337614664383813,-27.069234377426838,2.2680621767122194e-161,354,0.6439671538781738,177
C(iso3)[T.GEO],-3.8492728343660723,0.8816449867798505,-4.366012274878672,1.2653537190160462e-05,354,0.6439671538781738,177
C(iso3)[T.GHA],-6.508402129794984,1.2656701886146478,-5.142257586803733,2.7145658215625054e-07,354,0.6439671538781738,177
C(iso3)[T.GIN],-6.092425204543485,1.4946539173682851,-4.076144406238693,4.5788589515250197e-05,354,0.6439671538781738,177
C(iso3)[T.GMB],-5.804666000689059,1.2142253045066447,-4.78055100576871,1.7481539776439476e-06,354,0.6439671538781738,177
C(iso3)[T.GRC],-6.1284235991238045,0.7937969527471066,-7.720391943953759,1.1597253231808363e-14,354,0.6439671538781738,177
C(iso3)[T.GRL],-9.045020180716225,0.8950540082944786,-10.105557985211943,5.219757351347405e-24,354,0.6439671538781738,177
C(iso3)[T.GTM],-5.68810347287763,0.9955996071650414,-5.713243990799113,1.1084257594154852e-08,354,0.6439671538781738,177
C(iso3)[T.GUM],-8.879414044228497,0.26744072167818767,-33.20142866991335,1.0266336748290716e-241,354,0.6439671538781738,177
C(iso3)[T.GUY],8.307416255121215,0.7670313196770879,10.830608923007928,2.465105324449225e-27,354,0.6439671538781738,177
C(iso3)[T.HND],-3.333703140855109,1.3533294647486167,-2.4633344855713686,0.013765143356772588,354,0.6439671538781738,177
C(iso3)[T.HRV],-4.818523939003741,1.0186677891531786,-4.730221167599099,2.242753697110016e-06,354,0.6439671538781738,177
C(iso3)[T.HTI],-12.71164751014016,1.2755819359243654,-9.965371217748169,2.1606518098755862e-23,354,0.6439671538781738,177
C(iso3)[T.HUN],-9.9724141554215,1.3103765781151608,-7.6103421886292955,2.7337117377607465e-14,354,0.6439671538781738,177
C(iso3)[T.IDN],-6.903683231697544,1.327998234161547,-5.198563562892307,2.008344502598105e-07,354,0.6439671538781738,177
C(iso3)[T.IND],-2.4512502246487546,1.4376782226740483,-1.70500615922907,0.08819327570847499,354,0.6439671538781738,177
C(iso3)[T.IRL],0.27688125183788337,0.506706592178045,0.5464330958232209,0.5847682654535042,354,0.6439671538781738,177
C(iso3)[T.IRN],-7.591147781906846,1.5098239876107193,-5.027836253893249,4.960451657186812e-07,354,0.6439671538781738,177
C(iso3)[T.IRQ],-6.330847157793468,1.456279370344845,-4.3472751772170835,1.378392417926864e-05,354,0.6439671538781738,177
C(iso3)[T.ISL],-2.9786979093216366,1.0166099170484295,-2.930030348287205,0.0033892890083751987,354,0.6439671538781738,177
C(iso3)[T.ISR],-2.945837344299672,0.8168725233036457,-3.606238746268435,0.00031066732806217344,354,0.6439671538781738,177
C(iso3)[T.ITA],-5.269784559347669,0.6186900643381639,-8.51764859838982,1.628253642816409e-17,354,0.6439671538781738,177
C(iso3)[T.JAM],-6.097341483712571,0.915737874991512,-6.658391719103118,2.7684013032717874e-11,354,0.6439671538781738,177
C(iso3)[T.JOR],-8.641449820851438,0.7008959669555551,-12.329147588602698,6.311080026870602e-35,354,0.6439671538781738,177
C(iso3)[T.JPN],-8.94799909101049,1.1068614767235727,-8.084118274219385,6.261554349640399e-16,354,0.6439671538781738,177
C(iso3)[T.KAZ],-8.0133197956754,0.9280651129712231,-8.634437049379608,5.9016950648921704e-18,354,0.6439671538781738,177
C(iso3)[T.KEN],-4.72927204030526,1.3635104791717862,-3.4684530207482385,0.0005234640420424424,354,0.6439671538781738,177
C(iso3)[T.KGZ],-3.859293055714917,1.1558206860485853,-3.339006735472712,0.0008407852564829979,354,0.6439671538781738,177
C(iso3)[T.KHM],-6.989660339032539,1.253322474144992,-5.57690497316011,2.4483552463539236e-08,354,0.6439671538781738,177
C(iso3)[T.KIR],-4.553751400760353,1.1332142829779157,-4.01843805638752,5.858520575079484e-05,354,0.6439671538781738,177
C(iso3)[T.KOR],-6.387080130654866,1.1323209453261665,-5.640697681181778,1.6936250079518203e-08,354,0.6439671538781738,177
C(iso3)[T.KWT],-6.846940392540734,1.0308732830584162,-6.641883638915434,3.096994274791928e-11,354,0.6439671538781738,177
C(iso3)[T.LAO],-8.255831701158169,1.4438492270564898,-5.7179320017983875,1.0782827294723287e-08,354,0.6439671538781738,177
C(iso3)[T.LBN],-16.248825706129562,0.6448462139337802,-25.19798574454865,4.214563437651194e-140,354,0.6439671538781738,177
C(iso3)[T.LBR],-6.074403594165986,1.243265926696025,-4.885844181629503,1.0298662476801153e-06,354,0.6439671538781738,177
C(iso3)[T.LBY],-5.043842103339782,1.1142755462287153,-4.526566270264794,5.9949805309495575e-06,354,0.6439671538781738,177
C(iso3)[T.LKA],-13.2700261470846,1.1965146154795192,-11.090567532905947,1.394005299807665e-28,354,0.6439671538781738,177
C(iso3)[T.LSO],-8.921370115508093,1.1260594252650005,-7.92264592377848,2.3250897260684397e-15,354,0.6439671538781738,177
