term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,12.506676019805129,0.3326793845289964,37.59378128437966,2.716275900413053e-309,506,0.988742434568953,169
C(year)[T.2021],-0.06564818888278445,0.2757538279352634,-0.23806809636817147,0.8118282788230288,506,0.988742434568953,169
C(year)[T.2022],-0.34379627794089895,0.36326795008832213,-0.9463985960151756,0.3439453212362479,506,0.988742434568953,169
C(iso3)[T.AGO],2.8089482152920473,0.12347662551706674,22.748825565400626,1.473941845258847e-114,506,0.988742434568953,169
C(iso3)[T.ALB],-1.604113437204215,0.07693172738951629,-20.851129847668183,1.4886571707353362e-96,506,0.988742434568953,169
C(iso3)[T.ARE],-8.971156601815242,0.16131796012943891,-55.611641720592864,0.0,506,0.988742434568953,169
C(iso3)[T.ARG],-3.730589534767822,0.1889706979589817,-19.741629655078007,9.467471027046076e-87,506,0.988742434568953,169
C(iso3)[T.AUS],-7.423667961934028,0.15130086650331748,-49.065601099986125,0.0,506,0.988742434568953,169
C(iso3)[T.AUT],-7.083390852272255,0.17368137834071423,-40.78382449485532,0.0,506,0.988742434568953,169
C(iso3)[T.AZE],-6.618419054502878,0.15921833218545195,-41.5681973530157,0.0,506,0.988742434568953,169
C(iso3)[T.BDI],-11.511198763139024,0.056593942154081166,-203.3998397178083,0.0,506,0.988742434568953,169
C(iso3)[T.BEL],-6.787212098477195,0.17563167293103735,-38.644579222007565,0.0,506,0.988742434568953,169
C(iso3)[T.BEN],-11.009486363174496,0.027334758971298608,-402.7650792434063,0.0,506,0.988742434568953,169
C(iso3)[T.BFA],-7.324644839001153,0.032851478042439514,-222.96241373184904,0.0,506,0.988742434568953,169
C(iso3)[T.BGD],-7.563435097087708,0.12101117845341255,-62.50195390006481,0.0,506,0.988742434568953,169
C(iso3)[T.BGR],-8.045299251339033,0.23331268328452212,-34.48290567867622,1.4472104240062613e-260,506,0.988742434568953,169
C(iso3)[T.BHR],-10.91423115502808,0.179048394454593,-60.95687810144508,0.0,506,0.988742434568953,169
C(iso3)[T.BHS],-2.131928528576702,0.13326585569305568,-15.997560046341217,1.3288169419132749e-57,506,0.988742434568953,169
C(iso3)[T.BIH],1.5882185916463183,0.19537851519732446,8.12893162813875,4.330904940317446e-16,506,0.988742434568953,169
C(iso3)[T.BLR],-8.55748022753918,0.14286818360156586,-59.89773238389088,0.0,506,0.988742434568953,169
C(iso3)[T.BLZ],-2.76087911024587,0.1116060696974655,-24.737714693563547,4.2037441646836316e-135,506,0.988742434568953,169
