term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,13.028260076574734,0.1958832501967179,66.5103323714047,0.0,337,0.9951380189482316,169
C(year)[T.2022],-0.45106721642971026,0.16640167545154627,-2.710713189670103,0.006713867267831229,337,0.9951380189482316,169
C(iso3)[T.AGO],1.8322949616264594,0.18013017344525173,10.172060163942284,2.6425930465651427e-24,337,0.9951380189482316,169
C(iso3)[T.ALB],-2.4346733447974653,0.10331144309585637,-23.566347268409377,8.535218944716909e-123,337,0.9951380189482316,169
C(iso3)[T.ARE],-10.28795394612784,0.1416468953591104,-72.63098792278714,0.0,337,0.9951380189482316,169
C(iso3)[T.ARG],-5.597096733235423,0.18336099232474037,-30.525013320841538,1.2137705706995694e-204,337,0.9951380189482316,169
C(iso3)[T.AUS],-8.840075585769082,0.2189575406675119,-40.373469480974755,0.0,337,0.9951380189482316,169
C(iso3)[T.AUT],-7.63603795732818,0.3006310908979653,-25.400027437348005,2.5201052091907968e-142,337,0.9951380189482316,169
C(iso3)[T.AZE],-7.654171252050585,0.22626131506785774,-33.82889934037125,7.41618168692761e-251,337,0.9951380189482316,169
C(iso3)[T.BDI],-11.994109071475611,0.01641506482214111,-730.6769239983514,0.0,337,0.9951380189482316,169
C(iso3)[T.BEL],-7.274221299240907,0.1599395481319532,-45.48106696687385,0.0,337,0.9951380189482316,169
C(iso3)[T.BEN],-11.41344052505464,0.06217807753755705,-183.5605244977323,0.0,337,0.9951380189482316,169
C(iso3)[T.BFA],-7.684597886598643,0.03155701333775591,-243.5147396348983,0.0,337,0.9951380189482316,169
C(iso3)[T.BGD],-8.33777342395273,0.13769192581414977,-60.55382967921207,0.0,337,0.9951380189482316,169
C(iso3)[T.BGR],-8.6447786745191,0.3820645224251209,-22.626488896815463,2.377998397152185e-113,337,0.9951380189482316,169
C(iso3)[T.BHR],-11.67538052718821,0.1572821816845438,-74.23206114094458,0.0,337,0.9951380189482316,169
C(iso3)[T.BHS],-3.265718890595343,0.17869572971049752,-18.275304596735964,1.301612345178183e-74,337,0.9951380189482316,169
C(iso3)[T.BIH],0.380697399827211,0.31786963234863047,1.1976526257458682,0.23105227949968588,337,0.9951380189482316,169
C(iso3)[T.BLR],-9.346505548958644,0.04797879142795773,-194.80493924055662,0.0,337,0.9951380189482316,169
C(iso3)[T.BLZ],-3.794875898982603,0.15632003858856997,-24.276323964905174,3.4872968127161988e-130,337,0.9951380189482316,169
C(iso3)[T.BOL],-8.87374407054126,0.0912457438948045,-97.25104636958883,0.0,337,0.9951380189482316,169
C(iso3)[T.BRA],-2.2260782536733563,0.21446398368189806,-10.379730038844977,3.0664105408831794e-25,337,0.9951380189482316,169
C(iso3)[T.BRB],-4.514363193186177,0.24844220057795421,-18.17067785861,8.810315994181724e-74,337,0.9951380189482316,169
C(iso3)[T.BRN],-8.12680504271607,0.2710925658319622,-29.97797087417551,1.9012862426274092e-197,337,0.9951380189482316,169
C(iso3)[T.BTN],-7.928416410815239,0.1643064555672742,-48.25383387062964,0.0,337,0.9951380189482316,169
C(iso3)[T.BWA],10.179418665262906,0.09766384227183791,104.22914385171815,0.0,337,0.9951380189482316,169
C(iso3)[T.CAF],-6.824865162415265,0.025622866679482433,-266.35837620309246,0.0,337,0.9951380189482316,169
C(iso3)[T.CAN],-6.9833169972385285,0.1722684566666901,-40.537409647490186,0.0,337,0.9951380189482316,169
C(iso3)[T.CHE],-8.578987493053612,0.18924523177359845,-45.332648081284255,0.0,337,0.9951380189482316,169
C(iso3)[T.CHL],-4.643657556962217,0.2244635467060391,-20.687802652622352,4.460834545116384e-95,337,0.9951380189482316,169
C(iso3)[T.CHN],-8.913892385783603,0.3615038328624173,-24.65780878504846,3.0346995478638584e-134,337,0.9951380189482316,169
C(iso3)[T.CMR],-9.298791309266928,0.041021841399708256,-226.67903224190857,0.0,337,0.9951380189482316,169
C(iso3)[T.COD],-8.298448453152867,0.09092270634629727,-91.26926360447928,0.0,337,0.9951380189482316,169
C(iso3)[T.COG],7.770566067001002,0.12322704879900784,63.058931807052794,0.0,337,0.9951380189482316,169
C(iso3)[T.COL],-1.1857484437867156,0.18541794866186645,-6.395003570819785,1.6054360397442868e-10,337,0.9951380189482316,169
C(iso3)[T.CPV],-0.2073723326577104,0.14708075356166378,-1.4099216086132529,0.15856283136019966,337,0.9951380189482316,169
