term,coef,se_cluster,t,p,n_obs,r2,n_clusters
Intercept,12.989750587860982,0.1977827012974326,65.67687923488585,0.0,337,0.995216417410138,169
C(year)[T.2022],-0.5375815060273214,0.22820726493728674,-2.3556721832455825,0.018489226117669753,337,0.995216417410138,169
C(iso3)[T.AGO],1.792327481555548,0.18224410430957566,9.834762492568457,7.975557181806574e-23,337,0.995216417410138,169
C(iso3)[T.ALB],-2.5576560454381685,0.18913056516531906,-13.52322953829552,1.140566022154399e-41,337,0.995216417410138,169
C(iso3)[T.ARE],-10.672817680766867,0.5898077306336214,-18.095418432886973,3.463039048774098e-73,337,0.995216417410138,169
C(iso3)[T.ARG],-5.950225688535812,0.517251170543858,-11.503551905507555,1.265963266298471e-30,337,0.995216417410138,169
C(iso3)[T.AUS],-9.167640804728206,0.5223427848241465,-17.55100495513614,5.843681342936734e-69,337,0.995216417410138,169
C(iso3)[T.AUT],-7.940401833735986,0.5099978032626642,-15.569482423135929,1.1735295343175e-54,337,0.995216417410138,169
C(iso3)[T.AZE],-7.792322919915129,0.27712448383023897,-28.118493220860824,5.821139498412772e-174,337,0.995216417410138,169
C(iso3)[T.BDI],-11.8979861723811,0.14331537260073482,-83.01960882820252,0.0,337,0.995216417410138,169
C(iso3)[T.BEL],-7.591755377781769,0.48405159986769136,-15.683772928045,1.9530078664914046e-55,337,0.995216417410138,169
C(iso3)[T.BEN],-11.407001228072529,0.06378221062494092,-178.84298954686935,0.0,337,0.995216417410138,169
C(iso3)[T.BFA],-7.650692327873407,0.05392504519377328,-141.87641939624802,0.0,337,0.995216417410138,169
C(iso3)[T.BGD],-8.545617642401258,0.32830457775124267,-26.029541534069917,2.293705502762407e-149,337,0.995216417410138,169
C(iso3)[T.BGR],-8.715418496203156,0.3867236807673799,-22.536552400693587,1.8194680138283996e-112,337,0.995216417410138,169
C(iso3)[T.BHR],-12.005133629568547,0.5146894766019728,-23.32500308502039,2.4723763993668663e-120,337,0.995216417410138,169
C(iso3)[T.BHS],-3.3699337250544605,0.20501569503795886,-16.437442628138857,1.0318206478226012e-60,337,0.995216417410138,169
C(iso3)[T.BIH],0.32307445022641557,0.3221983665167028,1.0027190817854978,0.3159964204691309,337,0.995216417410138,169
C(iso3)[T.BLR],-9.554591317987049,0.3119751757832244,-30.62612688333268,5.495871014307382e-206,337,0.995216417410138,169
C(iso3)[T.BLZ],-3.996812214675644,0.3088218170254532,-12.942130362331964,2.6030960096849525e-38,337,0.995216417410138,169
C(iso3)[T.BOL],-9.051817535382952,0.2596585823661826,-34.86045965781966,2.9560242060749106e-266,337,0.995216417410138,169
C(iso3)[T.BRA],-2.557470545290306,0.4846992296288048,-5.276407283025565,1.3174111882710072e-07,337,0.995216417410138,169
C(iso3)[T.BRB],-4.713337250883013,0.3443874369591857,-13.686147475355215,1.228523114237151e-42,337,0.995216417410138,169
C(iso3)[T.BRN],-8.531164829519984,0.6650361723379065,-12.828121513344207,1.1409707475516937e-37,337,0.995216417410138,169
C(iso3)[T.BTN],-8.23595080093381,0.48213560395379773,-17.082229010664495,2.0128042973475227e-65,337,0.995216417410138,169
C(iso3)[T.BWA],9.973599234188336,0.3024730091548214,32.97351807375094,1.9471977725996023e-238,337,0.995216417410138,169
C(iso3)[T.CAF],-6.8478187026592385,0.050184720426438116,-136.45226364659985,0.0,337,0.995216417410138,169
